from,to,relation
MM,HtsDS1E3,2
BF,HtsDS1E3,4
AF,HtsDS1E4,1
SC,HtsDS1E4,2
PK,HtsDS1E4,2
MM,HtsDS1E4,2
BF,HtsDS1E4,4
AF,HtsDS1E5,1
SC,HtsDS1E5,2
PK,HtsDS1E5,2
MM,HtsDS1E5,2
BF,HtsDS1E5,4
AF,HtsDS1E6,1
SC,HtsDS1E6,2
PK,HtsDS1E6,2
MM,HtsDS1E6,2
PK,HtsDS1E1,3
LM,HtsDS1E1,3
MM,HtsDS1E1,3
PK,HtsDS1E2,3
LM,HtsDS1E2,3
MM,HtsDS1E2,3
PK,HtsDS1E3,3
LM,HtsDS1E3,3
MM,HtsDS1E3,3
PK,HtsDS1E4,3
LM,HtsDS1E4,3
MM,HtsDS1E4,3
PK,HtsDS1E5,3
LM,HtsDS1E5,3
MM,HtsDS1E5,3
PK,HtsDS1E6,3
LM,HtsDS1E6,3
MM,HtsDS1E6,3
BF,HtsDS1E6,4
MS,HtsDS2E1,1
SC,HtsDS2E1,2
PK,HtsDS2E1,2
MM,HtsDS2E1,2
BF,HtsDS2E1,4
MS,HtsDS2E2,1
NT,HtsDS2E2,2
PK,HtsDS2E2,2
MM,HtsDS2E2,2
BF,HtsDS2E2,4
MS,HtsDS2E3,1
ST,HtsDS2E3,2
PK,HtsDS2E3,2
MM,HtsDS2E3,2
BF,HtsDS2E3,4
AF,HtsDS2E4,1
ST,HtsDS2E4,2
PK,HtsDS2E4,2
MM,HtsDS2E4,2
BF,HtsDS2E4,4
AF,HtsDS2E5,1
SC,HtsDS2E5,2
PK,HtsDS2E5,2
MM,HtsDS2E5,2
BF,HtsDS2E5,4
AF,HtsDS2E6,1
MF,HtsDS2E6,2
PK,HtsDS2E6,2
MM,HtsDS2E6,2
BF,HtsDS2E6,4
PK,HtsDS2E1,3
MM,HtsDS2E1,3
PK,HtsDS2E2,3
MM,HtsDS2E2,3
PK,HtsDS2E3,3
MM,HtsDS2E3,3
PK,HtsDS2E4,3
MM,HtsDS2E4,3
PK,HtsDS2E5,3
MM,HtsDS2E5,3
PK,HtsDS2E6,3
MM,HtsDS2E6,3
AF,HtsDS3E1,1
NT,HtsDS3E1,2
PK,HtsDS3E1,2
MM,HtsDS3E1,2
BF,HtsDS3E1,4
AF,HtsDS3E2,1
NT,HtsDS3E2,2
PK,HtsDS3E2,2
MM,HtsDS3E2,2
BF,HtsDS3E2,4
AF,HtsDS3E3,1
ST,HtsDS3E3,2
PK,HtsDS3E3,2
MM,HtsDS3E3,2
BF,HtsDS3E3,4
AF,HtsDS3E4,1
ST,HtsDS3E4,2
PK,HtsDS3E4,2
MM,HtsDS3E4,2
BF,HtsDS3E4,4
AF,HtsDS3E5,1
ST,HtsDS3E5,2
PK,HtsDS3E5,2
MM,HtsDS3E5,2
BF,HtsDS3E5,4
AF,HtsDS3E6,1
ST,HtsDS3E6,2
PK,HtsDS3E6,2
MM,HtsDS3E6,2
BF,HtsDS3E6,4
PK,HtsDS3E1,3
MM,HtsDS3E1,3
ST,HtsDS3E2,3
ST,HtsDS2E3,3
ST,HtsDS2E4,3
PK,HtsDS2E5,3
MM,HtsDS2E5,3
ST,HtsDS2E5,3
ST,HtsDS2E6,3
KF,BDCS1E1,4
SSU,BDCS1E1,4
RT,BDCS1E1,1
OZ,BDCS1E1,2
AB,BDCS1E1,3
SB,BDCS1E1,3
SBP,BDCS1E1,3
KF,BDCS1E2,4
SSU,BDCS1E2,4
RT,BDCS1E2,1
OZ,BDCS1E2,2
AB,BDCS1E2,3
SB,BDCS1E2,3
SBP,BDCS1E2,3
KF,BDCS1E3,4
SSU,BDCS1E3,4
RT,BDCS1E3,1
OZ,BDCS1E3,2
AB,BDCS1E3,3
SB,BDCS1E3,3
SBP,BDCS1E3,3
KF,BDCS1E4,4
SSU,BDCS1E4,4
RT,BDCS1E4,1
OZ,BDCS1E4,2
AB,BDCS1E4,3
SB,BDCS1E4,3
SBP,BDCS1E4,3
IP,CGS1E1,4
GK,CGS1E1,3
GK,Hija,3
GK,Lupi,3
GK,CriVeKoe,3
GK,CriFra,3
GK,CriSpa,3
GK,StaJu,3
JFS,CGS1E1,3
JFS,Hija,3
JFS,CriVeKoe,3
JFS,CriFra,3
JFS,CriSpa,3
JFS,StaJu,3
JFS,Livi,3
JFS,TruSe,3
JFS,TheWroMa,3
JFS,WreVoAb,3
JFS,DetheGu,3
JFS,Pea,3
JFS,TheWroMaFaZeFaO,3
BL,CGS1E1,2
SH,CGS1E1,2
SH,CriSpa,2
SH,ProT,2
SH,KlLue,2
SH,Grosta,2
SH,FreKoe,2
OH,CGS1E1,1
OH,StFeSc,1
OH,4Blo,1
OH,Unwa,1
OH,TaUimgediNa,1
OH,DeMa,1
OH,Bill,1
OH,DegleHi,1
OH,ElErhaediWeve,1
OH,TuWaSpi,1
OH,Dia,1
NS,CGS1E1,4
IP,CGS1E2,4
NS,CGS1E2,4
GK,CGS1E2,3
JFS,CGS1E2,3
BL,CGS1E2,2
SH,CGS1E2,2
OH,CGS1E2,1
IP,CGS1E3,4
NS,CGS1E3,4
GK,CGS1E3,3
JFS,CGS1E3,3
BL,CGS1E3,2
SH,CGS1E3,2
OH,CGS1E3,1
LM,TrTi,1
LM,WeHe,1
LM,StJo,1
LM,EiSeMi,1
LM,HeKlKr,1
LM,ScKlKr,1
LM,MaRe,1
LM,MoGe,1
LM,HeZe,1
AF,BuBa,1
AF,TaRe,1
AF,De86,1
AF,MaMy,1
AF,VoLe,1
AF,StBe,1
AF,De86,1
SC,BuBa,2
PK,BuBa,2
SC,LaOnLa,2
SC,HoTa,2
SC,ExTr,2
SC,KrMa,2
SC,GuArOr,2
SC,NeMa,2
SC,UwEr,2
SC,PoHo,2
SC,WaWe,2
SC,DuZe,2
SC,CiHaGa,2
SC,StFr,2
PK,KiSt,2
PK,UwEr,2
PK,DrIn,2
PK,KrMa,2
PK,16xDe,1
MM,KiSt,2
MS,StFeSc,1
MS,TaGoZe,1
MS,TaScLe,1
MS,FlLe,1
MS,LeNiKl,1
MS,BaGo,1
MS,NiBoBe,1
NT,BuBa,2
MF,KiSt,2
ST,GuArOr,2
ST,KaLa,2
ST,NeMa,2
ST,KrMa,2
ST,UwEr,2
MF,TsUg,2
MF,WaPo,2
MF,FuUm,2
MF,TaZwLe,2
MF,TaElRa,2
MF,BeSt,2
MF,KiSt,2
FC,De86,1
FC,DeNsu,1
FC,CoHe,1
KG,PeBl,1
KG,FiGuEv,1
KG,MiHi,1
KG,ToTa,1
KE,BaKr,2
KE,ZeGe,2
KE,RaDa,2
