id,name,sex,university,university_short,awards,type,genre,country,location,rating,year,Produktionsfirma,Tatort
BaLa,Banklady,99,,,0,2,4,DE,Berlin,"6,3",2013,Syrreal Entertainment,99
TaWiHa,Tatort Willkommen in Hamburg,99,,,0,2,4,DE,Muenchen,6,2013,Constantin Television,99
TaKo,Tatort Kopfgeld,99,,,0,2,4,DE,Muenchen,"5,4",2014,Constantin Television,99
TaDeGroSchme,Tatort Der große Schmerz,99,,,0,2,4,DE,Frankfurt am Main,"5,4",2016,ARD Degeto Film,99
TaFeFeu,Tatort Fegefeuer,99,,,0,2,4,DE,Frankfurt am Main,"5,8",2016,ARD Degeto Film,99
TaTschi,Tatort Tschiller Off Duty,99,,,0,2,4,DE,Berlin,"4,4",2016,Syrreal Entertainment,99
IZ,Ipek Zuebert,2,,,0,1,4,,,,,,99
TheMo,The Mopes,99,,,0,2,2,DE,,6,2021,,99
Ka08,Kalinka08 Melde dich bitte,99,,,0,2,99,DE,Berlin,,2020,Studio Zentral,99
WisidiWe,Wir sind die Welle,99,,,0,2,6,DE,Muenchen,"6,3",2019,Rat Pack Filmproduktion,99
BruSchwaMa,Bruder Schwarze Macht,99,,,0,2,4,DE,Hamburg,"6,8",2017,Aspekt Medienproduktion,99
EiAte,Ein Atem,99,,,0,2,6,DE,Berlin,"6,4",2015,Senator Film Koeln,99
EY,Erol Yesilkaya,1,Philipps Universitaet Marburg,PUM,1,1,4,,,,,,1
DeGre,Der Greif,99,,,0,2,6,DE,Muenchen,"6,9",2023,WundB Television,99
TaAlMeiJu,Tatort Alle meine Jungs,99,,,0,2,4,DE,Frankfurt am Main,"5,9",2014,ARD Degeto Film,99
TaDaHaEnStra,Tatort Das Haus am Ende der Straße,99,,,0,2,4,DE,Frankfurt am Main,"7,2",2015,ARD Degeto Film,99
TaHideSpie,Tatort Hinter dem Spiegel,99,,,0,2,4,DE,Frankfurt am Main,"6,5",2015,ARD Degeto Film,99
TaEsledeTo,Tatort Es lebe der Tod,99,,,0,2,4,DE,Frankfurt am Main,"7,4",2016,ARD Degeto Film,99
TaDieWa,Tatort Die Wahrheit,99,,,0,2,4,DE,Berlin,"7,3",2016,X Filme Creative Pool,99
TaDeTogaLe,Tatort Der Tod ist unser ganzes Leben,99,,,0,2,4,DE,Berlin,"6,9",2017,X Filme Creative Pool,99
TaWejealis,Tatort Wer jetzt alleine ist,99,,,0,2,4,DE,Muenchen,"6,4",2018,WundB Television,99
TaEiTawijean,Tatort Ein Tag wie jeder andere,99,,,0,2,4,DE,Muenchen,"7,3",2019,Claussen Putz Filmproduktionen,99
TaDaNe,Tatort Das Nest,99,,,0,2,99,DE,Berlin,"8,7",2019,Phoenix Film,99
TaPara,Tatort Parasomnia,99,,,0,2,4,DE,Berlin,"7,4",2020,ARD Degeto Film,99
TaDaOpf,Tatort Das Opfer,99,,,0,2,4,DE,,"6,8",2022,,99
TaMeta,Tatort Meta,99,,,0,2,4,DE,Muenchen,"7,6",2018,WundB Television,99
Sou,Souls,99,,,0,2,6,DE,Muenchen,"6,9",2022,Grießendoefer Pictures,99
Hau,Hausen,99,,,0,2,6,DE,Berlin,5,2020,Lago Film,99
Exit,Exit,99,,,0,2,6,DE,Berlin,"6,1",2020,Sommerhaus Filmproduktionen,99
NoHa,Notruf Hafenkante,99,,,0,2,4,DE,Hamburg,"5,6",2019,Letterbox Filmproduktion,99
MP,Michael Proehl,1,Filmakademie Baden Wuerttemberg,FABW,2,1,4,,,,,,1
GeCriSto,German Crime Story,99,,,0,2,4,DE,Muenchen,"7,3",2023,Neue Bioskop Television,99
Heustihiekai,Heute stirbt hier Kainer,99,,,0,2,2,DE,Frankfurt am Main,"6,4",2021,Hessischer Rundfunk,99
TaImSchmege,Tatort Im Schmerz geboren,99,,,0,2,4,DE,Frankfurt am Main,"8,2",2014,ARD Degeto Film,99
TaWeWiern,"Tatort Wer Wind erntet, saet Sturm",99,,,0,2,4,DE,Frankfurt am Main,"5,5",2015,ARD Degeto Film,99
TaWikrieeu,Tatort Wir kriegen euch alle,99,,,0,2,4,DE,Dresden,"7,1",2018,Tellux Film,99
DaweiKa,Das weiße Kaninchen,99,,,0,2,6,DE,Koeln,"6,9",2016,FFP New Media GmbH,99
Schwa23uHadeTo,Schwarzach 23 und die Hand des Todes,99,,,0,2,4,DE,Muenchen,"6,1",2015,TV 60 Filmproduktion,99
Dri,Driften,99,,,0,2,6,CHE,Stuttgart,"6,8",2015,Langfilm,99
HSH,Henner Schulte Holtey,1,Deutsche Film und Fernsehakademie Berlin,DFFB,0,1,4,,,,,,99
Fu,Furia,99,,,0,2,4,NO,Oslo,"7,1",2021,Monster Scripted,99
LeSpuBe,Letzte Spur Berlin,99,,,0,2,4,DE,Berlin,"6,4",2014,Novafilm Fernsehproduktion,99
KoevoDeu,Koenig von Deutschland,99,,,0,2,2,DE,Berlin,"5,9",2013,Frisbeefilms,99
JC,Jan Cronauer,1,Filmakademie Baden Wuerttemberg,FABW,0,1,4,,,,,,1
DueEiNoKri,Duenentod Ein Nordsee Krimi,99,,,0,2,4,DE,Berlin,"6,3",2023,MadeFor Film,99
TaFriosti,Tatort Friss oder stirb,99,,,0,2,4,CHE,Zuerich,"6,4",2018,Schweizer Radio und Fernsehen,99
TaKauMau,Tatort Katz und Maus,99,,,0,2,4,DE,Berlin,"6,9",2022,MadeFor Film,99
DiKaeVe,Die Kaenguru Verschwoerung,99,,,0,2,2,DE,Berlin,"5,8",2022,X Film Creativ Pool,99
LeiLa,Leisure Land,99,,,0,2,4,DE,Berlin,"8,8",2020,Novafilm Fernsehproduktion,99
